lambda,lambdaL
447.6923076923077,0.0
450.7692307692308,0.0
453.84615384615375,0.0
456.9230769230769,0.0
460.0,0.0
463.07692307692304,0.0
466.1538461538461,0.0
469.2307692307692,0.0
472.30769230769226,0.0
475.38461538461536,0.0
478.46153846153845,0.0
481.5384615384616,0.0
484.6153846153846,0.0
487.6923076923077,0.0
490.7692307692308,0.0
493.84615384615375,0.0
496.9230769230769,0.0
500.0,0.0
503.07692307692304,0.0
506.1538461538461,0.0
509.2307692307692,0.0
512.3076923076923,0.0
515.3846153846154,0.0
518.4615384615385,0.0
521.5384615384615,0.0
524.6153846153846,0.0
527.6923076923076,0.0
530.7692307692307,0.0
533.8461538461538,0.0
536.9230769230769,0.0
540.0,0.0
543.0769230769231,0.0
546.1538461538462,0.0
549.2307692307692,0.0
552.3076923076923,0.0
555.3846153846154,0.0
558.4615384615385,0.0
561.5384615384615,0.0
564.6153846153846,0.0
567.6923076923076,0.0
570.7692307692307,0.0
573.8461538461538,0.0
576.9230769230769,0.0
580.0,0.0
583.0769230769231,0.0
586.1538461538462,0.0
589.2307692307692,0.0
592.3076923076923,0.0
595.3846153846154,0.0
598.4615384615385,0.0
601.5384615384615,0.0
604.6153846153846,0.0
607.6923076923076,0.0
610.7692307692307,0.0
613.8461538461538,0.0
616.9230769230769,0.0
620.0,0.0
623.0769230769231,0.0
626.1538461538462,0.0
629.2307692307692,0.0
632.3076923076923,0.0
635.3846153846154,0.0
638.4615384615385,0.0
641.5384615384615,0.0
644.6153846153846,0.0
647.6923076923076,0.0
650.7692307692307,0.0
653.8461538461538,0.0
656.9230769230769,0.0
660.0,0.0
663.0769230769231,0.0
666.1538461538461,0.0
669.2307692307692,0.0
672.3076923076923,0.0
675.3846153846154,0.0
678.4615384615385,0.0
681.5384615384615,0.0
684.6153846153846,0.0
687.6923076923076,0.0
690.7692307692307,0.0
693.8461538461538,0.0
696.9230769230769,0.0
700.0,0.0
703.0769230769231,0.0
706.1538461538461,0.0
709.2307692307692,0.0
712.3076923076923,0.0
715.3846153846154,0.0
718.4615384615385,0.0
721.5384615384614,0.0
724.6153846153846,0.0
727.6923076923075,0.0
730.7692307692307,0.0
733.8461538461538,0.0
736.9230769230769,0.0
740.0,0.0
743.0769230769232,0.0
746.1538461538461,0.0
749.2307692307692,0.0
752.3076923076922,0.0
755.3846153846154,0.0
758.4615384615385,0.0
761.5384615384614,0.0
764.6153846153846,0.0
767.6923076923075,0.0
770.7692307692307,0.0
773.8461538461538,0.0
776.9230769230769,0.0
780.0,0.0
783.0769230769232,0.0
786.1538461538461,0.0
789.2307692307692,0.0
792.3076923076922,0.0
795.3846153846154,0.0
798.4615384615385,0.0
801.5384615384614,0.0
804.6153846153846,0.0
807.6923076923075,0.0
810.7692307692307,0.0
813.8461538461538,0.0
816.9230769230769,0.0
820.0,0.0
823.0769230769232,0.0
826.1538461538461,0.0
829.2307692307692,0.0
832.3076923076922,0.0
835.3846153846154,0.0
838.4615384615385,0.0
841.5384615384614,0.0
844.6153846153846,0.0
847.6923076923075,0.0
850.7692307692307,0.0
853.8461538461538,0.0
856.9230769230769,0.0
860.0,0.0
863.0769230769232,0.0
866.1538461538461,0.0
869.2307692307692,0.0
872.3076923076922,0.0
875.3846153846154,0.0
878.4615384615385,0.0
881.5384615384614,0.0
884.6153846153846,0.0
887.6923076923075,0.0
890.7692307692307,0.0
893.8461538461538,0.0
896.9230769230769,0.0
900.0,0.0
903.0769230769232,4.1174875467632013e-16
906.1538461538461,1.7586704211544989e-15
909.2307692307693,6.426171682385786e-15
912.3076923076922,1.1062323991736932e-14
915.3846153846152,1.6816078827193276e-14
918.4615384615385,2.405797288802345e-14
921.5384615384615,3.196987545292154e-14
924.6153846153843,3.983397605058236e-14
927.6923076923075,4.76557287177446e-14
930.7692307692307,5.5433212020661156e-14
933.8461538461538,6.315970711927513e-14
936.9230769230768,6.9929053717734e-14
940.0,7.640075796022911e-14
943.0769230769232,8.254909295644371e-14
946.1538461538461,8.826961213967478e-14
949.2307692307693,9.257527965721233e-14
952.3076923076922,9.68532620743134e-14
955.3846153846152,9.985710037278582e-14
958.4615384615385,1.0118504084109149e-13
961.5384615384615,1.0172464009216001e-13
964.6153846153843,9.741518857527907e-14
967.6923076923075,8.290466155802861e-14
970.7692307692307,6.083869645816165e-14
973.8461538461538,3.8912681901263813e-14
976.9230769230768,4.104487416551181e-14
980.0,4.985655503704866e-14
983.0769230769232,6.06200165029734e-14
986.1538461538461,6.923798777160687e-14
989.2307692307693,7.042161448351478e-14
992.3076923076922,7.159786601426356e-14
995.3846153846152,7.541537161638331e-14
998.4615384615385,8.273011511232665e-14
1001.5384615384615,9.165719107818739e-14
1004.6153846153844,9.906094716508419e-14
1007.6923076923076,1.0331774700274809e-13
1010.7692307692308,1.0522987529223745e-13
1013.8461538461538,1.0713039756767828e-13
1016.9230769230768,1.0101057082299547e-13
1020.0,9.268651618401208e-14
1023.076923076923,8.459372655999998e-14
1026.153846153846,7.918961068785606e-14
1029.2307692307693,8.319508862077728e-14
