lambda,All,sigma_all,Low_luminosity,sigma_low,Mid_luminosity,sigma_mid,High_luminosity,sigma_high,CIVZ1,sigma_CIVZ1,CIVZ2,sigma_CIVZ2," UVBump",sigma_ UVBump,ScottUV,sigma_ScottUV,CaseUV,sigma_CaseUV
1.3168317811001513,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.4,44.23,0.39,44.25,0.37
1.3368322388638232,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.4,44.23,0.39,44.253,0.36
1.3568307892788622,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.4,44.23,0.39,44.259,0.36
1.3768312470425341,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.268,0.35
1.396831704806206,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.277,0.34
1.4168321625698779,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.286,0.33
1.436830712984917,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.295,0.32
1.4568311707485888,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.309,0.31
1.4768316285122607,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.4,44.23,0.39,44.329,0.3
1.4968320862759326,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.39,44.23,0.39,44.348,0.29
1.5168325440396044,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.242,0.39,44.23,0.39,44.368,0.28
1.5368310944546435,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.243,0.39,44.23,0.39,44.387,0.27
1.5568315522183154,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.244,0.39,44.23,0.39,44.414,0.26
1.5768320099819872,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.247,0.39,44.23,0.39,44.449,0.25
1.5968324677456591,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.25,0.38,44.23,0.39,44.483,0.24
1.6168310181606982,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.256,0.38,44.23,0.39,44.518,0.24
1.63683147592437,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.264,0.37,44.23,0.39,44.552,0.23
1.656831933688042,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.275,0.36,44.23,0.39,44.593,0.23
1.6768323914517138,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.289,0.35,44.23,0.39,44.64,0.23
1.6968309418667529,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.306,0.33,44.23,0.39,44.687,0.23
