lambda all sigma_all low sigma_low mid sigma_mid high sigma_high CIVZ1 sigma_CIVZ1 CIVZ2 sigma_CIVZ2 UVBump sigma_UVBump ScottUV sigma_ScottUV CaseUV sigma_CaseUV
2.074109979546338 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
2.1718620606080976 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
2.274211175233215 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
2.3813939559657893 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
2.4936282238296714 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
2.611152053654263 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
2.734202732465901 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
2.863064755106453 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
2.998 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
3.139294695996428 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
3.287248561811644 1.7258378919902108e+44 4.053366375081347e+44 8.203515443298209e+43 1.92670782172826e+44 1.8281002161427446e+44 4.2935434323132645e+44 3.6897759857015046e+44 8.750903876598606e+44 2.8183829312644723e+44 6.6842535195947905e+44 4.8305880203976975e+44 1.145652516514826e+45 1.7218685749859955e+44 1.5858995651430618e+44 1.698243652461732e+44 1.5250367021877567e+44 1.698243652461732e+44 1.5250367021877567e+44
