lambda all disk dust
13234.0 61156119087199.63 23392283512165.637 37763835575034.0
13314.0 60790901306894.99 22524405888538.38 38266495418356.62
13394.0 60658354487083.77 21881773928624.758 38778818874122.74
13475.0 60222533580705.0 20927041187384.043 39295492393320.96
13556.999999999998 59261196429888.625 19188349929925.5 40075057903666.01
13637.999999999998 60412843525443.625 20021838979322.484 40391004546121.13
13721.000000000002 60176312222141.234 19470284964652.72 40706027257488.516
13804.0 61929853665604.17 20903904665314.402 41025949000289.77
13887.0 61294171527327.72 19945648448188.953 41350681932742.85
13971.0 61427777539188.32 19754912318373.773 41672865220814.55
14055.0 63142508715759.516 21138512984702.953 42001862682319.46
14140.0 60911981612446.96 18581663366336.633 42332438472418.67
14226.0 63540487839167.72 20875993251792.492 42662387178405.734
14311.0 62377505415414.73 19377751380057.3 43001848927398.51
14398.0 61554990970968.19 18217462147520.49 43337528823447.7
14484.999999999998 61210115291681.055 17534729720400.416 43677455298584.74
14572.0 64321625034312.375 20300072742245.402 44021552292066.98
14660.0 60311743519781.72 15945024556616.643 44368763983628.914
14749.000000000002 63700131534341.3 18985232897145.566 44714898637195.734
14838.0 63437259738509.234 18370276317563.01 45066983420946.22
14927.0 65246216922355.46 19825321899912.91 45420895022442.555
15018.0 63816795844986.016 18040302303901.984 45776493541084.03
15108.0 64887213396875.83 18748414085252.844 46138799311622.98
15200.0 64983622368421.05 18485036842105.26 46498585526315.79
15290.999999999998 64245938133542.62 17380988816951.15 46866909947027.67
15384.0 63627600104004.164 16395068902756.11 47232531201248.05
15476.0 65064503747738.44 17459921168260.533 47606519772551.05
15570.0 65378350674373.8 17400723185613.361 47979552986512.53
15664.0 65087452757916.234 16731687946884.574 48355764811031.664
15759.0 66804853099815.984 18070944856907.164 48733908242908.81
15854.0 66383745427021.57 17264879525671.758 49116974895925.33
15949.0 66112394507492.63 16607517712709.26 49504876794783.37
16046.0 67521327433628.31 17630018696248.285 49893177115792.09
16143.0 68302325466146.32 18019943009353.902 50284239608499.04
16240.000000000002 67050713054187.19 16370852216748.766 50679860837438.42
16338.0 70068937446443.875 18990269310809.156 51078668135634.71
16437.0 71146186043681.94 19665654316481.11 51478707793392.95
16536.0 72527813255926.47 20642977745524.918 51884835510401.55
16636.0 71488135369079.11 19196138494830.49 52291996874248.62
16736.0 72572881214149.14 19869631931166.35 52705040630975.14
16838.0 74465704953082.31 21349933483786.67 53115771469295.63
16939.0 74418151012456.47 20884585866934.293 53535335025680.38
17050.0 69226545454545.46 15236170087976.541 53990375366568.914
17150.0 68927778425655.98 14525004081632.652 54402774344023.32
17260.0 67342097334878.33 12485297798377.752 54856799536500.58
17360.0 69700046082949.31 14430465437788.018 55269580645161.29
17460.0 66295979381443.3 10611477663230.24 55684501718213.05
17570.0 69344746727376.2 13203485486624.93 56141261240751.27
17670.0 67951273344651.96 11394775325410.3 56556498019241.66
17780.0 68306512935883.01 11292241844769.402 57014271091113.6
17890.0 69310944661822.26 11837826718837.34 57473117942984.91
17990.0 70658810450250.14 12766913841022.79 57891896609227.34
18100.0 74784364640883.98 16432683977900.553 58351680662983.42
18210.0 73789324546952.22 14975182866556.838 58814141680395.39
18320.0 74229956331877.73 14953997816593.889 59275958515283.84
18430.0 77918719479110.16 18179950081389.043 59738769397721.12
18540.0 79283678532901.83 19081121898597.625 60202556634304.21
18650.0 87255463806970.5 26588160857908.848 60667302949061.67
18770.0 92128204581779.44 30952712839637.72 61175491742141.72
18880.0 85446175847457.64 23804564618644.066 61641611228813.555
18990.0 79678283307003.69 17569637704054.766 62108645602948.914
19110.0 78848498168498.17 16227792778649.922 62620705389848.24
19220.0 79395525494276.8 16306499479708.637 63089026014568.16
19340.0 78871892450879.02 15270578076525.336 63601314374353.664
19450.0 77485583547557.84 13413159897172.236 64072423650385.6
19570.0 76826622381195.7 12240173735309.146 64586448645886.56
19690.0 78825017775520.58 13723196546470.29 65101821229050.28
19810.0 78453467945482.08 12834951034830.893 65618516910651.18
19930.0 77108620170597.08 10973612644254.893 66135007526342.195
20040.0 74246876247505.0 11849879241516.967 62396997005988.03
20170.0 76964025780862.67 11755667823500.246 65208357957362.414
20290.0 79478767865943.81 11663978314440.61 67814789551503.195
20410.0 77072542871141.61 11574835864772.17 65497707006369.43
20530.0 78155362883584.98 11485275207014.125 66670087676570.87
20650.0 82201820823244.56 11396755447941.889 70805065375302.67
20780.0 81182608277189.6 11303816169393.646 69878792107795.95
20900.0 80400909090909.1 11217397129186.604 69183511961722.49
21030.000000000004 79176852116024.72 11126671421778.41 68050180694246.305
21160.0 80192249527410.2 11039894139886.578 69152355387523.625
21280.0 81501080827067.67 10962141917293.232 70538938909774.42
21410.0 79745959831854.27 10875976646426.904 68869983185427.37
21540.0 84790232126276.69 10789459610027.855 74000772516248.84
21669.999999999996 85056317489617.0 10703980618366.406 74352336871250.58
21800.0 83531431192660.56 10619521100917.432 72911910091743.12
21930.0 82653479252165.98 10537430004559.963 72116049247606.02
22060.0 82506155938349.95 10454947416137.805 72051208522212.16
22200.000000000004 81310621621621.6 10367408108108.107 70943213513513.5
22330.0 84650201522615.31 10288255261979.4 74361946260635.9
22460.0 85895503116651.83 10214023152270.705 75681479964381.12
22599.999999999996 84647070796460.19 10134831858407.08 74512238938053.11
22730.0 82764848218213.81 10057083150021.998 72707765068191.83
22870.0 84276965456930.48 9975854831657.193 74301110625273.28
23010.0 88089865275966.98 9894312038244.242 78195553237722.73
23150.0 88774470842332.61 9815050539956.803 78959420302375.81
23290.0 87957638471446.97 9736741949334.479 78220896522112.48
23430.0 88647648314127.19 9663207853179.686 78984440460947.52
23570.000000000004 89456656767076.78 9591819261773.44 79864837505303.33
23710.0 88587043441585.83 9517480388021.932 79069563053563.9
23849.999999999996 89537752620545.1 9442757232704.404 80094995387840.69
23990.0 89327653188828.69 9370155898290.955 79957497290537.73
24140.0 91566917978458.98 9292061309030.654 82274856669428.33
24280.0 90248690280065.89 9226135090609.555 81022555189456.34
24430.0 91130364306180.92 9154760540319.28 81975603765861.66
24580.000000000004 91403628966639.53 9079378356387.307 82324250610252.22
24720.0 91480234627831.72 9010978964401.295 82469255663430.42
24870.0 91736147969441.1 8938548451950.139 82797599517490.94
25019.999999999996 91509696243005.62 8869382893685.055 82640313349320.55
25170.0 91559896702423.52 8802232816845.45 82757663885578.06
25320.0 92734344391785.16 8734694312796.209 83999650078988.95
25480.0 92199089481946.62 8662196232339.09 83536893249607.55
25630.0 92618665626219.27 8593954740538.432 84024710885680.84
25780.0 92951955003878.97 8527670287044.221 84424284716834.75
25940.0 95499128758673.88 8460046260601.389 87039082498072.48
26090.0 96995469528554.98 8398766577232.656 88596702951322.34
26250.0 97809036190476.2 8331584761904.763 89477451428571.42
26410.0 95377493373722.08 8264081787201.818 87113411586520.27
26570.0 97217794505080.92 8197391795257.81 89020402709823.11
26730.0 97544354657687.98 8132621773288.44 89411732884399.55
26890.0 95035150613611.02 8070852361472.666 86964298252138.34
27050.0 94539519408502.77 8009813678373.383 86529705730129.39
27210.0 95085409775817.7 7946187431091.511 87139222344726.2
27380.0 97024390065741.4 7881520818115.413 89142869247626.0
27540.0 95666027596223.67 7823756717501.815 87842270878721.86
27710.0 96312508119812.34 7761693251533.742 88550814868278.6
27870.0 98986709723717.27 7700998205956.226 91285711517761.03
28040.0 98311733238231.1 7638271041369.473 90673462196861.62
28210.0 98537596596951.44 7577362637362.638 90960233959588.8
28380.0 98560042283298.11 7518240310077.52 91041801973220.58
28550.0 97437625218914.17 7461922241681.261 89975702977232.92
28720.0 98792033426183.86 7403139275766.017 91388894150417.84
28889.999999999996 100151256490135.0 7344010384215.992 92807246105919.02
29070.0 98840151358789.12 7287192294461.645 91552959064327.48
29240.0 98101450068399.45 7232521203830.37 90868928864569.1
29420.0 97389143439836.84 7172985044187.627 90216158395649.22
29600.0 98407324324324.33 7115185810810.812 91292138513513.52
29770.0 100393221363789.06 7063477326167.282 93329744037621.78
29950.0 102202270450751.25 7008012687813.022 95194257762938.23
30130.0 101890209093926.33 6951220710255.56 94938988383670.77
30310.0 101285120422302.86 6897081491257.011 94388038931045.84
30500.0 100752459016393.42 6840354754098.36 93912104262295.08
30680.0 98793285528031.28 6787518904823.989 92005766623207.31
30860.0 99674270900842.52 6735299416720.674 92938971484121.84
31050.0 100222995169082.12 6681533011272.142 93541462157809.98
31240.0 101052944942381.55 6627460947503.2 94425483994878.36
31420.0 102000700190961.17 6578043284532.1455 95422656906429.02
31610.0 102715406516925.03 6525226194242.329 96190180322682.7
31800.0 102290251572327.03 6474925786163.522 95815325786163.5
31990.0 102619881212879.03 6424285714285.715 96195595498593.33
32190.0 102541099720410.06 6372263435849.643 96168836284560.44
32380.0 102587523162445.97 6322835701050.031 96264687461395.92
32580.0 102417863720073.66 6272058931860.036 96145804788213.62
32770.0 103470796460176.98 6224715288373.513 97246081171803.47
32970.0 104025235062177.72 6174225053078.557 97851010009099.19
33170.0 103669158878504.67 6125247512812.782 97543911365691.88
33370.0 103227509739286.78 6076857057237.039 97150652682049.75
33570.0 103416264521894.53 6029043193327.375 97387221328567.17
33770.0 104312999703879.19 5982683446846.314 98330316257032.88
33970.0 103963614954371.5 5935987047394.761 98027627906976.75
34180.0 103588004681100.06 5888114101813.926 97699890579286.12
34380.0 103944618964514.25 5843396742292.03 98101222222222.22
34590.0 103573576178086.16 5796653368025.44 97776922810060.72
34800.0 102087068965517.25 5750474137931.035 96336594827586.22
35000.0 102017657142857.16 5707335428571.429 96310321714285.72
35220.0 103082850653038.05 5660618966496.309 97422231686541.73
35430.0 102641095117132.39 5616067174710.697 97025027942421.69
35640.0 103382210998877.67 5572881593714.927 97809329405162.73
35850.0 103947391910739.19 5529365690376.568 98418026220362.61
36070.0 102482228999168.28 5484835597449.403 96997393401718.88
36290.0 102356627170019.3 5440845411959.218 96915781758060.08
36500.0 101932000000000.0 5399685479452.055 96532314520547.94
36720.0 101484586056644.89 5356720588235.294 96127865468409.58
36950.0 102313342354533.14 5312829228687.415 97000513125845.73
37170.0 102756308851224.11 5271705138552.597 97484603712671.52
37390.0 103033698849959.88 5231064990639.209 97802633859320.67
37620.0 103200691121743.75 5188723551302.499 98011967570441.25
37840.0 103392970401691.33 5149049154334.038 98243921247357.3
38070.0 103319569214604.69 5108491200420.278 98211078014184.4
38300.0 102777389033942.55 5067637597911.228 97709751436031.31
38530.0 102630729301842.72 5028049831300.285 97602679470542.44
38760.0 102640505675954.6 4988158410732.715 97652347265221.89
38990.0 102803949730700.19 4949506540138.497 97854443190561.69
39230.0 103321335712464.97 4910056079530.972 98411279632933.98
39460.0 103782767359351.23 4872319817536.746 98910447541814.48
39700.0 103986045340050.38 4833047858942.065 99152997481108.3
39940.0 103811567351026.53 4794998497746.62 99016568853279.92
40180.0 103191488302638.12 4756657541065.207 98434830761572.92
40420.0 104803908955962.39 4719513607125.186 100084395348837.2
40660.0 106028627643876.05 4682808165272.996 101345819478603.06
40910.0 104721143974578.34 4645397702273.283 100075746272305.05
41150.0 104110376670716.89 4609561603888.215 99500815066828.69
