# lambda   continuum             lines                
  712      3.54920602366654E-5   3.54920602366654E-5  
  714      3.53370905713124E-5   3.53370905713124E-5  
  716      3.51832282014489E-5   3.51832282014489E-5  
  718      3.50304621552275E-5   3.50304621552275E-5  
  720      3.48787815996689E-5   3.48787815996689E-5  
  722      3.47281758385252E-5   3.47281758385252E-5  
  724      3.45786343101814E-5   3.45786343101814E-5  
  726      3.44301465855949E-5   3.44301465855949E-5  
  728      3.42827023662719E-5   3.42827023662719E-5  
  730      3.41362914822802E-5   3.41362914822802E-5  
  732      3.3990903890298E-5    3.3990903890298E-5   
  734      3.38465296716972E-5   3.38465296716972E-5  
  736      3.37031590306605E-5   3.37031590306605E-5  
  738      3.35607822923327E-5   3.35607822923327E-5  
  740      3.34193899010043E-5   3.34193899010043E-5  
  742      3.32789724183272E-5   3.32789724183272E-5  
  744      3.3139520521562E-5    3.3139520521562E-5   
  746      3.30010250018559E-5   3.30010250018559E-5  
  748      3.28634767625508E-5   3.28634767625508E-5  
  750      3.27268668175216E-5   3.27268668175216E-5  
  752      3.25911862895422E-5   3.25911862895422E-5  
  754      3.24564264086813E-5   3.24564264086813E-5  
  756      3.23225785107248E-5   3.23225785107248E-5  
  758      3.21896340356267E-5   3.21896340356267E-5  
  760      3.20575845259855E-5   3.20575845259855E-5  
  762      3.19264216255477E-5   3.19264216255477E-5  
  764      3.17961370777365E-5   3.17961370777365E-5  
  766      3.16667227242061E-5   3.16667227242061E-5  
  768      3.15381705034202E-5   3.15381705034202E-5  
  770      3.14104724492552E-5   3.14104724492552E-5  
  772      3.12836206896264E-5   3.12836206896264E-5  
  774      3.11576074451385E-5   3.11576074451385E-5  
  776      3.10324250277579E-5   3.10324250277579E-5  
  778      3.09080658395081E-5   3.09080658395081E-5  
  780      3.07845223711863E-5   3.07845223711863E-5  
  782      3.06617872011026E-5   3.06617872011026E-5  
  784      3.0539852993839E-5    3.0539852993839E-5   
  786      3.04187124990302E-5   3.04187124990302E-5  
  788      3.02983585501639E-5   3.02983585501639E-5  
  790      3.01787840634015E-5   3.01787840634015E-5  
  792      3.00599820364181E-5   3.00599820364181E-5  
  794      2.99419455472617E-5   2.99419455472617E-5  
  796      2.98246677532313E-5   2.98246677532313E-5  
  798      2.97081418897729E-5   2.97081418897729E-5  
  800      2.95923612693948E-5   2.95923612693948E-5  
  802      2.94773192805991E-5   2.94773192805991E-5  
  804      2.93630093868318E-5   2.93630093868318E-5  
  806      2.92494251254493E-5   2.92494251254493E-5  
  808      2.91365601067022E-5   2.91365601067022E-5  
  810      2.90244080127351E-5   2.90244080127351E-5  
  812      2.89129625966026E-5   2.89129625966026E-5  
  814      2.88022176813017E-5   2.88022176813017E-5  
  816      2.86921671588187E-5   2.86921671588187E-5  
  818      2.85828049891927E-5   2.85828049891927E-5  
  820      2.84741251995926E-5   2.84741251995926E-5  
  822      2.83661218834103E-5   2.83661218834103E-5  
  824      2.82587891993672E-5   2.82587891993672E-5  
  826      2.81521213706354E-5   2.81521213706354E-5  
  828      2.80461126839727E-5   2.80461126839727E-5  
  830      2.79407574888714E-5   2.79407574888714E-5  
  832      2.78360501967203E-5   2.78360501967203E-5  
  834      2.77319852799799E-5   2.77319852799799E-5  
  836      2.76285572713707E-5   2.76285572713707E-5  
  838      2.7525760763074E-5    2.7525760763074E-5   
  840      2.74235904059455E-5   2.74235904059455E-5  
  842      2.73220409087407E-5   2.73220409087407E-5  
  844      2.72211070373527E-5   2.72211070373527E-5  
